번호,관련번호,상위번호,도서명,자료출처,지명유래,X좌표,Y좌표,유무인도,연육도현황,기타,도형정보,lat,lon
11,군내5,4.61E+18,돌산도,고시,,270002.14,227731.37,1,연륙교,,POINT (270002.14026976144 227731.36959785502),34.642783281836174,127.76351463937858
12,봉전1,4.61E+18,단도,고시,경치가 좋아서 관광객,248009.99,245788.96,0,,,POINT (248009.98698292556 245788.9560905501),34.806817797193666,127.52468416259815
13,이천3,4.61E+18,우도,수치,,252548.07,238472.06,0,,,POINT (252548.07032925868 238472.0602584149),34.74064140093602,127.57382037668361
14,안포7,4.61E+18,오란도,고시,까막섬이 돌산읍에 있,259709.22,225703.23,0,,,POINT (259709.2204204637 225703.22926856123),34.62515322296947,127.6511136644067
15,우학1,4.61E+18,오동도,고시,이 섬은 물위에 높이 ,272161.34,213196.47,0,,,POINT (272161.34243912867 213196.4719023821),34.51162164640445,127.7858292064703
16,우학2,4.61E+18,금오도,고시,이 섬에는 신선대와 옥,269079.34,214092.42,1,,,POINT (269079.3440332161 214092.4226631091),34.51990881394644,127.75234176293084
17,심장6,4.61E+18,소부도,고시,이 섬의 모양이 작은 ,272561.39,210121.49,0,,,POINT (272561.38537919347 210121.49242920202),34.483876537897885,127.78992387260978
18,심장7,4.61E+18,구몽바위(소구몽암),행정,여수시 관내 행정지도,270295.41,208877.47,0,,,POINT (270295.4141662583 208877.46536551678),34.472820141107725,127.76515536407686
19,심장8,4.61E+18,구몽바위(대구몽암),행정,여수시 관내 행정지도,270392.41,208882.47,0,,,POINT (270392.4136362985 208882.46675261197),34.47285859619878,127.76621152374028
20,유송3,4.61E+18,가리여,수치,,270648.29,217029.43,0,,,POINT (270648.29371207184 217029.4313609401),34.546275740668975,127.76967140021065
21,연도5,4.61E+18,알마도,고시,섬의 모양이 망아지처,272029.44,206637.5,0,,,POINT (272029.43859577004 206637.50123055786),34.452509922724765,127.78383974424695
22,연도9,4.61E+18,작도,고시,이 섬의 빛은 희고 또 ,283112.45,202668.68,0,,,POINT (283112.44515616517 202668.68144326354),34.41590408864551,127.90404972843197
