하천명,본류,하천 종점,시군구2,읍면동2,경계2,하천연장_킬로미터,유로연장_킬로미터,유역면적_제곱킬로미터,제방정비,제방보강,제방신설,하천지정근거 및 일자
수어천,수어천,전남,광양,광영,해안,23.25,26.3,119.78,0.59,12.63,11.45,전남453호 (2003.12.27 )
성황천,성황천,전남,광양,골약,도이 해안,3.02,6.87,8.46,0.92,1.51,1.33,전남453호 (2003.12.27 )
광양서천,광양서천,전남,광양,광양,초남 해안,20.4,24.51,179.1,7.2,4.79,0.63,전남453호 (2003.12.27 )
율촌천,율촌천,전남,여수,월산,조화 855번지선조화배수갑문수문,4.36,5.83,10.57,0.4,,6.4,전남453호 (2003.12.27 )
연등천,연등천,전남,여수,남산,1번지선(해안),6.14,9.12,15.74,6.45,5.19,,전남453호 (2003.12.27 )
순천동천,순천동천,전남,순천,대대,해안,24.28,35.53,367.45,12.42,5.37,2.84,전남453호 (2003.12.27 )
석현천,석현천,전남,순천,별량,원창배수문,2.33,5.76,17.92,0.02,,4.64,전남453호 (2003.12.27 )
양촌천,양촌천,전남,보성,벌교,장양 해안,1.3,2.6,1.84,,2.6,,전남453호 (2003.12.27 )
벌교천,벌교천,전남,보성,벌교,벌교 해안,9.34,14.09,73.94,1.78,1.06,,전남453호 (2003.12.27 )
칠동천,칠동천,전남,보성,벌교,벌교 해안,9.34,14.29,33,0.21,0.6,17.38,전남453호 (2003.12.27 )
와우천,와우천,전남,고흥,동강,죽암 해안,6.12,7.98,7.9,,,8.35,전남453호 (2003.12.27 )
대강천,대강천,전남,고흥,동강,유둔리 죽암방조제,7.79,9.6,45.33,2.96,5.56,5.76,전남453호 (2003.12.27 )
강산천,강산천,전남,고흥,점암,강산 해안,4.79,5.32,10.8,1.66,0.22,7.7,전남453호 (2003.12.27 )
송산천,송산천,전남,고흥,포두,송산 해안,3.43,4.98,12.3,2.25,,2,전남453호 (2003.12.27 )
고흥천,고흥천,전남,고흥,포두,상대 해안,9.27,12.94,35.86,4.07,1.49,11.84,전남453호 (2003.12.27 )
