id,type,lon,lat
1,beach,128.65289772,34.73997657
2,beach,128.70860726,34.81267238
3,beach,128.60369118,34.72642651
4,beach,128.71051559,34.91078957
5,beach,128.7150014,34.95978333
6,beach,128.64152616,34.77466779
7,beach,128.70105709,35.00458049
8,beach,128.67458768,35.02039244
9,beach,128.65247097,35.01081795
10,beach,128.57555778,34.77889966
11,beach,127.90752772,34.76832095
12,beach,127.85593102,34.74355323
13,beach,128.02393098,34.72163321
14,beach,127.98876675,34.72063654
15,beach,128.6259645,34.71389518
16,beach,128.69107567,35.0313536
17,beach,128.57215178,34.89880787
18,beach,128.63073777,34.97791682
19,beach,128.09639798,34.92658645
20,beach,128.21282688,34.85097606
21,beach,128.45996249,34.72051894
22,beach,128.439492,34.819363
23,beach,127.14557493,34.42980408
24,beach,127.18088008,34.63102224
25,beach,127.81290537,34.49071107
26,beach,127.30431975,34.01992033
27,beach,127.61086134,34.64464073
28,beach,127.776297,34.683606
29,beach,127.75629296,34.79625899
30,beach,127.79341928,34.63085093
31,beach,127.745476,34.77885683
32,beach,126.29390413,34.78105305
33,beach,127.11676483,34.44750371
34,beach,127.16423622,34.43475474
35,beach,126.90817244,34.18335399
36,beach,126.96313135,34.31197202
37,beach,126.05020223,34.24038752
38,beach,126.03945987,34.84953486
39,beach,125.98051398,34.87184486
40,beach,126.0682002,34.80240061
41,beach,126.86216215,34.19602211
42,beach,126.92849455,34.37047002
43,beach,126.88039945,34.32972168
44,beach,127.46966357,34.46672377
45,beach,127.49259521,34.43207181
46,beach,127.48661216,34.57983178
47,beach,127.22959776,34.66437622
48,beach,127.08902041,34.67002619
49,beach,126.51808554,34.31565595
50,beach,126.47115001,34.43550097
51,beach,127.06187634,34.33344971
52,beach,126.07421026,34.28456189
53,beach,128.02600248,34.70656643
54,beach,128.64152616,34.77466779
55,beach,128.2120603,34.85081786
56,beach,128.4397294,34.81993082
57,beach,128.500724,35.102496
58,beach,127.98876675,34.72063654
59,beach,128.02393098,34.72163321
60,beach,127.90752772,34.76832095
61,beach,127.06187634,34.33344971
62,beach,126.81266434,34.32688908
63,beach,127.08902041,34.67002619
64,beach,127.45866735,34.52735363
65,beach,125.97300636,34.58805851
66,beach,128.50103655,35.10198241
67,beach,128.21282688,34.85097606
68,beach,128.64152616,34.77466779
69,beach,128.70860726,34.81267238
70,beach,127.30441,34.019653
71,beach,126.963545,34.311889
72,beach,126.880241,34.329411
73,beach,126.92849455,34.37047002
74,beach,126.907896,34.183691
75,beach,126.862057,34.196764
76,beach,126.0565946,34.53376209
77,beach,127.77642464,34.68325621
78,beach,126.51808554,34.31565595
79,port,126.14428484,35.13655232
80,port,126.20198905,35.04382673
81,port,125.91722249,34.25141058
82,port,126.13427007,34.36820632
83,port,126.47472631,34.34985889
84,port,126.51266975,34.12847591
85,port,126.85271269,34.18294157
86,port,126.89269377,34.35764961
87,port,126.81704968,34.44841559
88,port,127.01326998,34.36886963
89,port,127.08152655,34.33921548
90,port,127.13037787,34.52556841
91,port,127.21110739,34.43193673
92,port,127.26323627,34.39871888
93,port,127.24069651,34.23940585
94,port,127.47340356,34.66171738
95,port,127.53689987,34.60417793
96,port,127.72167742,34.61243524
97,port,127.71265924,34.72342858
98,port,127.79633467,34.47825508
99,port,127.79332048,34.42939402
100,port,128.67513566,35.1069771
101,port,128.73063138,35.07546445
102,port,128.78501161,35.02721942
103,port,128.85696084,35.04925039
104,port,128.9760396,35.00658282
105,port,129.06750994,35.02638281
106,river,126.47038059,34.46548293
107,river,127.73628961,34.7359781
108,river,127.38769839,34.78073721
109,river,127.085586,34.66809577
110,river,127.77818609,34.93065856
111,river,128.1005537,34.91944039
112,river,128.20265284,34.93613
113,river,128.3194113,34.95763724
114,river,127.9908152,34.71276448
115,river,127.90788331,34.7630742
116,river,128.94669986,35.08379006
117,river,128.88998959,35.08475358
118,river,128.77966609,35.0722966
119,fishery,128.25,34.75
120,fishery,128.75,34.75
121,fishery,126.25,34.75
122,fishery,126.25,34.25
123,fishery,126.75,34.25
124,fishery,127.25,34.25
125,fishery,127.75,34.25
126,fishery,128.25,34.25
127,fishery,128.75,34.25
