도서명,island_lon,island_lat,grid_no,gid,rank_nn,dist_m_est,weight_inv_dist2
돌산도,1024150.2095417212,1627646.8044936068,GR2_F2P34,2014,1,950.1886882939236,1.1075919918579782e-06
돌산도,1024150.2095417212,1627646.8044936068,GR2_F2P41,1951,2,2103.3601945353034,2.2603339091875386e-07
돌산도,1024150.2095417212,1627646.8044936068,GR2_F2P33,2013,3,3685.60211573726,7.361784002269259e-08
단도,1002257.751699303,1645805.4915914766,GR2_F2L31,1693,1,3271.491762279357,9.343472189817711e-08
단도,1002257.751699303,1645805.4915914766,GR2_F2L24,1632,2,3492.530851258601,8.198217992268382e-08
단도,1002257.751699303,1645805.4915914766,GR2_F2M41,1939,3,4024.795502048988,6.17322825443282e-08
우도,1006757.417986242,1638469.2575908964,GR2_F2O12,1818,1,3467.0281657154787,8.31927009124228e-08
우도,1006757.417986242,1638469.2575908964,GR2_F2M42,1940,2,3518.876624468638,8.07591769776389e-08
우도,1006757.417986242,1638469.2575908964,GR2_F2O13,1881,3,4156.828552305951,5.78729672413806e-08
오란도,1013851.9658502626,1625670.6252123152,GR2_F2P31,1949,1,2640.390467932929,1.4343780319944062e-07
오란도,1013851.9658502626,1625670.6252123152,GR2_F2P24,1888,2,3101.858030158947,1.0393363620281755e-07
오란도,1013851.9658502626,1625670.6252123152,GR2_F2P32,1950,3,4530.693414726068,4.8715888592146627e-08
오동도,1026236.4462072614,1613107.998119789,GR2_G1H14,1390,1,1220.5411119699502,6.712663600812838e-07
오동도,1026236.4462072614,1613107.998119789,GR2_G1H23,1391,2,3097.8652244885907,1.042017267585147e-07
오동도,1026236.4462072614,1613107.998119789,GR2_G1H13,1389,3,3103.9549958659536,1.0379325296336138e-07
금오도,1023160.3113315504,1614018.7643376256,GR2_G1H13,1389,1,373.13953563438395,7.182147952608133e-06
금오도,1023160.3113315504,1614018.7643376256,GR2_G1G44,1516,2,2647.959368451948,1.4261897290142643e-07
금오도,1023160.3113315504,1614018.7643376256,GR2_G1H14,1390,3,3084.9599369281964,1.050753626446661e-07
소부도,1026621.1167269982,1610032.4809885928,GR2_G1I32,1698,1,2644.832361856418,1.429564113332847e-07
소부도,1026621.1167269982,1610032.4809885928,GR2_G1I33,1761,2,3600.8235834583247,7.712519548672628e-08
소부도,1026621.1167269982,1610032.4809885928,GR2_G1I31,1697,3,4158.569201374695,5.782452969797152e-08
구몽바위(소구몽암),1024350.0518363176,1608800.2317302136,GR2_G1I31,1697,1,1688.7602640042264,3.5064192710187077e-07
구몽바위(소구몽암),1024350.0518363176,1608800.2317302136,GR2_G1I32,1698,2,2351.3083541354313,1.8087591772821845e-07
구몽바위(소구몽암),1024350.0518363176,1608800.2317302136,GR2_G1I24,1636,3,4055.4416256987197,6.080281194821861e-08
구몽바위(대구몽암),1024447.0313413296,1608804.7504682296,GR2_G1I31,1697,1,1748.956176952083,3.2692038579442843e-07
구몽바위(대구몽암),1024447.0313413296,1608804.7504682296,GR2_G1I32,1698,2,2276.454667704741,1.9296649274937573e-07
구몽바위(대구몽암),1024447.0313413296,1608804.7504682296,GR2_G1I24,1636,3,4148.117219892557,5.811629691356153e-08
가리여,1024743.0548914339,1616946.6493592209,GR2_G1H13,1389,1,2958.7905728557794,1.1422771723117955e-07
가리여,1024743.0548914339,1616946.6493592209,GR2_G1H14,1390,2,3010.756618776669,1.10318577333896e-07
가리여,1024743.0548914339,1616946.6493592209,GR2_G1F31,1445,3,4505.828137294807,4.9255046475546506e-08
알마도,1026072.2156315164,1606552.7476817188,GR2_G1I32,1698,1,879.1800263106691,1.2937304859889562e-06
알마도,1026072.2156315164,1606552.7476817188,GR2_G1I31,1697,2,2808.384455016423,1.2679053197507495e-07
알마도,1026072.2156315164,1606552.7476817188,GR2_G1I33,1761,3,3151.878133617235,1.0066097246702249e-07
작도,1037130.39583185,1602531.1400947866,GR2_G1K12,1578,1,2068.93195898732,2.3361863497946336e-07
작도,1037130.39583185,1602531.1400947866,GR2_G1K11,1577,2,3048.65170987409,1.0759307751545607e-07
작도,1037130.39583185,1602531.1400947866,GR2_G1K13,1641,3,3944.821968381294,6.426065618249341e-08
작은간여,1032573.0939704744,1588407.00122474,GR2_G1M24,1892,1,1803.7944354271854,3.0734473717679396e-07
작은간여,1032573.0939704744,1588407.00122474,GR2_G1M31,1953,2,2874.044243154745,1.2106345072194441e-07
작은간여,1032573.0939704744,1588407.00122474,GR2_G1M23,1891,3,3819.789090369098,6.853638637183187e-08
간여,1032598.8506424357,1588359.8957836828,GR2_G1M24,1892,1,1767.1611322020826,3.202193408042094e-07
간여,1032598.8506424357,1588359.8957836828,GR2_G1M31,1953,2,2825.421384315829,1.2526608083039794e-07
간여,1032598.8506424357,1588359.8957836828,GR2_G1M23,1891,3,3821.8272138179386,6.846330700290085e-08
연도,1027765.8723432985,1604809.1886834195,GR2_G1I33,1761,1,2934.875590827684,1.1609688225594033e-07
연도,1027765.8723432985,1604809.1886834195,GR2_G1I32,1698,2,3014.120017637051,1.1007250994900355e-07
연도,1027765.8723432985,1604809.1886834195,GR2_G1J43,1767,3,4510.430192364382,4.915458653004876e-08
개도,1015405.5077338541,1619239.7414746939,GR2_G1F14,1382,1,2063.872041586338,2.3476554693778728e-07
개도,1015405.5077338541,1619239.7414746939,GR2_G1F23,1383,2,3006.6104571947785,1.1062304908561869e-07
개도,1015405.5077338541,1619239.7414746939,GR2_G1F13,1381,3,3963.357758491025,6.366099462351471e-08
도막여-1,1014108.3552658912,1621524.1552486327,GR2_G1F14,1382,1,772.0018178364687,1.6778866760130411e-06
도막여-1,1014108.3552658912,1621524.1552486327,GR2_G1F13,1381,2,2161.984186145532,2.1394142349618536e-07
도막여-1,1014108.3552658912,1621524.1552486327,GR2_G1F23,1383,3,3569.6741569442033,7.847707644885239e-08
큰여,1014054.132197566,1621474.4453500605,GR2_G1F14,1382,1,804.8644492544017,1.5436677796869478e-06
큰여,1014054.132197566,1621474.4453500605,GR2_G1F13,1381,2,2101.595171667047,2.2641321815627644e-07
큰여,1014054.132197566,1621474.4453500605,GR2_G1F23,1383,3,3619.9135612165305,7.631388553668836e-08
납대기도,1003220.4609189339,1625659.2209158042,GR2_F2P21,1823,1,2470.3821500863137,1.6385950838725642e-07
납대기도,1003220.4609189339,1625659.2209158042,GR2_F2P14,1886,2,3613.3669761944466,7.659066222757817e-08
납대기도,1003220.4609189339,1625659.2209158042,GR2_F2P22,1824,3,3918.4757201179955,6.512768654206781e-08
둔병도,1003871.6208377047,1625947.8699805764,GR2_F2P21,1823,1,2219.6851876417522,2.029631263809464e-07
둔병도,1003871.6208377047,1625947.8699805764,GR2_F2P22,1824,2,3235.927296069374,9.549979682894062e-08
둔병도,1003871.6208377047,1625947.8699805764,GR2_F2P14,1886,3,3948.1095890327592,6.415368008104853e-08
홍도,1005023.0872398334,1626141.09641537,GR2_F2P22,1824,1,2340.138152694575,1.8260679170225005e-07
홍도,1005023.0872398334,1626141.09641537,GR2_F2P21,1823,2,2546.970690728585,1.5415302034830636e-07
홍도,1005023.0872398334,1626141.09641537,GR2_F2P23,1887,3,4546.416195182788,4.837952486396507e-08
토도,1006343.7144383218,1627393.0273920384,GR2_F2P22,1824,1,733.8468683779881,1.8568990884796045e-06
토도,1006343.7144383218,1627393.0273920384,GR2_F2P23,1887,2,2865.114389699021,1.2181927636968547e-07
토도,1006343.7144383218,1627393.0273920384,GR2_F2P21,1823,3,3011.7189279769464,1.1024809027154555e-07
