연번,시도,시군구,섬이름,위도,경도
1,부산광역시,영도구,영도,35.09421563,129.0494208
2,부산광역시,강서구,가덕도,35.06168718,128.8278779
3,부산광역시,강서구,진우도,35.06700329,128.8723634
4,부산광역시,기장군,죽도,35.21787344,129.2297402
5,전라남도,목포시,고하도,34.76885022,126.3677456
6,전라남도,목포시,율도,34.80346413,126.3235464
7,전라남도,목포시,달리도,34.77367681,126.3161428
8,전라남도,목포시,외달도,34.77970292,126.2967342
9,전라남도,목포시,장좌도,34.78908445,126.3385103
10,전라남도,목포시,우도,34.79302497,126.3324997
11,전라남도,여수시,야도,34.72043606,127.7110212
12,전라남도,여수시,대경도,34.70960422,127.7233897
13,전라남도,여수시,소경도,34.70805823,127.705105
14,전라남도,여수시,묘도,34.88569842,127.7162529
15,전라남도,여수시,돌산도,34.71081586,127.7828604
16,전라남도,여수시,송도(돌산면),,
17,전라남도,여수시,금죽도,34.67794257,127.7006803
18,전라남도,여수시,달천도,34.76522337,127.5639143
19,전라남도,여수시,송도(율촌면),34.88092657,127.5959913
20,전라남도,여수시,소늑도,,
21,전라남도,여수시,대늑도,34.86788863,127.6209113
22,전라남도,여수시,운두도,34.74413868,127.5613641
23,전라남도,여수시,금오도,34.52269328,127.7504136
24,전라남도,여수시,안도,34.48534734,127.8110419
25,전라남도,여수시,부도,34.57684243,127.5821863
26,전라남도,여수시,연도,34.43669944,127.8022201
27,전라남도,여수시,대두라도,34.56516382,127.7333602
28,전라남도,여수시,소두라도,34.56672656,127.7462061
29,전라남도,여수시,나발도,34.57233534,127.7399618
30,전라남도,여수시,화태도,34.58500709,127.7313547
31,전라남도,여수시,대횡간도,34.57762512,127.759874
32,전라남도,여수시,소횡간도,34.5644711,127.7668763
33,전라남도,여수시,백야도,34.61527856,127.6378521
34,전라남도,여수시,월호도,34.57336048,127.7192651
35,전라남도,여수시,자봉도,34.59271987,127.6859898
36,전라남도,여수시,개도,34.56992608,127.6609043
37,전라남도,여수시,제도,34.59572373,127.6530726
38,전라남도,여수시,상화도,34.59924169,127.6006653
39,전라남도,여수시,하화도,34.59195739,127.6174385
40,전라남도,여수시,사도,34.59099634,127.5547773
41,전라남도,여수시,낭도,34.6082903,127.540911
42,전라남도,여수시,추도,34.5923123,127.5681281
43,전라남도,여수시,조발도,34.63655333,127.5589587
44,전라남도,여수시,둔병도,34.62793725,127.5418411
45,전라남도,여수시,적금도,34.62887039,127.5141067
46,전라남도,여수시,여자도,34.76026433,127.4965254
47,전라남도,여수시,송여자도,34.75879616,127.5112824
48,전라남도,여수시,거문도,34.02689707,127.3161684
49,전라남도,여수시,서도,34.03679264,127.2911557
50,전라남도,여수시,동도,34.04636291,127.3192298
51,전라남도,여수시,초도,34.2270375,127.2441979
52,전라남도,여수시,손죽도,34.28308864,127.357308
53,전라남도,여수시,소거문도,34.28851413,127.3953447
54,전라남도,여수시,평도,34.24593137,127.4508042
55,전라남도,여수시,광도,34.26529566,127.5341581
56,전라남도,광양시,태인도,34.95323217,127.7561993
57,전라남도,광양시,금호도,34.94570574,127.7341666
58,전라남도,고흥군,상화도,34.50269977,127.1486546
59,전라남도,고흥군,하화도,34.49607738,127.147406
60,전라남도,고흥군,득량도,34.60022252,127.0983844
61,전라남도,고흥군,소록도,34.51077389,127.1183297
62,전라남도,고흥군,시산도,34.39113691,127.2579184
63,전라남도,고흥군,거금도,34.45864769,127.1704211
64,전라남도,고흥군,연흥도,,
65,전라남도,고흥군,죽도,34.44786591,127.2954821
66,전라남도,고흥군,지죽도,34.43512398,127.3067351
67,전라남도,고흥군,첨도,34.56980353,127.4471964
68,전라남도,고흥군,오도,34.57140276,127.3998916
69,전라남도,고흥군,취도,34.5680992,127.4173332
70,전라남도,고흥군,외나로도,34.445946,127.5017081
71,전라남도,고흥군,사양도,34.4734545,127.4419752
72,전라남도,고흥군,애도,34.46390968,127.4474941
73,전라남도,고흥군,수락도,34.47849137,127.4024391
74,전라남도,고흥군,우도,34.72444787,127.3106341
75,전라남도,고흥군,백일도,34.69469724,127.4345087
76,전라남도,고흥군,옥금도,,
77,전라남도,고흥군,원주도,34.66779737,127.4708304
78,전라남도,고흥군,진지도,34.71287833,127.4441532
79,전라남도,고흥군,대옥대도,34.56649868,127.4688682
80,전라남도,고흥군,내나로도,34.49743125,127.4769782
81,전라남도,보성군,장도,34.78713021,127.4507875
82,전라남도,보성군,해도,34.80904171,127.4408959
83,전라남도,보성군,지주도,34.78160899,127.4229373
84,전라남도,장흥군,장재도,34.6176666,127.012221
85,전라남도,장흥군,노력도,34.45616906,126.9657148
86,전라남도,강진군,가우도,34.53432631,126.7817007
87,전라남도,해남군,상마도,34.46133974,126.4148685
88,전라남도,해남군,중마도,34.43654997,126.4332546
89,전라남도,해남군,하마도,34.4328015,126.4374968
90,전라남도,해남군,어불도,34.34074055,126.4713978
91,전라남도,해남군,임하도,34.6113069,126.2674553
92,전라남도,해남군,금호도,34.68463122,126.3589713
93,전라남도,해남군,시하도,34.69932673,126.2425382
94,전라남도,무안군,탄도,35.01067854,126.3156528
95,전라남도,영광군,상낙월도,35.20442266,126.1431436
96,전라남도,영광군,하낙월도,35.19712878,126.1259373
97,전라남도,영광군,소각시도,,
98,전라남도,영광군,송이도,35.28381107,126.144269
99,전라남도,영광군,안마도,35.34590206,126.0281814
100,전라남도,영광군,대석만도,35.37239423,126.0483048
101,전라남도,영광군,죽도,35.35353781,126.0012116
102,전라남도,영광군,횡도,35.33686616,125.9910513
103,전라남도,영광군,대각이도,35.24731676,126.0968546
104,전라남도,완도군,완도,34.35161653,126.6994822
105,전라남도,완도군,평일도,34.34809255,127.0475489
106,전라남도,완도군,충도,34.38228749,127.0815493
107,전라남도,완도군,우도,34.31037089,127.0634977
108,전라남도,완도군,다랑도,34.30602937,127.1010427
109,전라남도,완도군,황제도,34.19205306,127.0737716
110,전라남도,완도군,신도,34.39032676,127.0426228
111,전라남도,완도군,원도,34.21998533,127.1975126
112,전라남도,완도군,장도(금일읍),34.20600169,127.1655707
113,전라남도,완도군,소랑도,34.32574817,127.0847544
114,전라남도,완도군,섭도,34.30286457,127.1268667
115,전라남도,완도군,노화도,34.20449317,126.5853699
116,전라남도,완도군,장사도,34.17321652,126.5609497
117,전라남도,완도군,노록도,34.20108229,126.542851
118,전라남도,완도군,마삭도,34.24504431,126.5651711
119,전라남도,완도군,넙도(노화읍),34.18710757,126.5048066
120,전라남도,완도군,대정원도,34.26549741,126.426691
121,전라남도,완도군,마안도,34.2098428,126.5132806
122,전라남도,완도군,어룡도,34.28666958,126.4754206
123,전라남도,완도군,대장구도,34.26145802,126.4517428
124,전라남도,완도군,후장구도,34.19792156,126.4919498
125,전라남도,완도군,서넙도,34.18633994,126.4800692
126,전라남도,완도군,죽굴도,34.2304258,126.4212112
127,전라남도,완도군,사후도,34.39547756,126.7382925
128,전라남도,완도군,고마도,34.41521403,126.7132433
129,전라남도,완도군,토도,34.42137666,126.6868621
130,전라남도,완도군,달도,34.39751033,126.6351234
131,전라남도,완도군,흑일도,34.27870465,126.5558322
132,전라남도,완도군,백일도,34.29739924,126.5850617
133,전라남도,완도군,서화도,34.31798715,126.5031918
134,전라남도,완도군,동화도,34.28801216,126.6089151
135,전라남도,완도군,양도,34.29945367,126.5087582
136,전라남도,완도군,신지도,34.33379372,126.8486665
137,전라남도,완도군,모황도,34.28641904,126.8975341
138,전라남도,완도군,고금도,34.40545326,126.8095354
139,전라남도,완도군,넙도(고금면),34.42725835,126.8544382
140,전라남도,완도군,초완도,34.42180551,126.8731802
141,전라남도,완도군,조약도,34.38117971,126.9026075
142,전라남도,완도군,청산도,34.18157315,126.8871868
143,전라남도,완도군,장도(청산면),34.20368535,126.8502665
144,전라남도,완도군,대모도,34.19436728,126.7613208
145,전라남도,완도군,소모도,34.22517593,126.7741577
146,전라남도,완도군,여서도,33.97852834,126.9231669
147,전라남도,완도군,소안도,34.16164355,126.6528562
148,전라남도,완도군,당사도,34.10459478,126.5946752
149,전라남도,완도군,횡간도,34.24157138,126.6089477
150,전라남도,완도군,구도,34.20801395,126.6345629
151,전라남도,완도군,금당도,34.43664418,127.0522253
152,전라남도,완도군,비견도,34.42072942,127.0821958
153,전라남도,완도군,허우도,34.41205722,127.1176031
154,전라남도,완도군,보길도,34.1425932,126.5521253
155,전라남도,완도군,예작도,34.13122197,126.5693453
156,전라남도,완도군,생일도,34.32408533,126.984475
157,전라남도,완도군,덕우도,34.24881462,127.015281
158,전라남도,진도군,진도,34.45684546,126.2425582
159,전라남도,진도군,저도,34.50919187,126.1654067
160,전라남도,진도군,금호도,34.41081118,126.3690685
161,전라남도,진도군,모도(의신면),34.41598255,126.337146
162,전라남도,진도군,접도,34.37821539,126.2927058
163,전라남도,진도군,상구자도,34.33221388,126.2979777
164,전라남도,진도군,하구자도,34.32273281,126.298374
165,전라남도,진도군,죽도(임회면),34.365355,126.1240184
166,전라남도,진도군,장도,34.45548287,126.0990808
167,전라남도,진도군,관매도,34.2365453,126.0480789
168,전라남도,진도군,동거차도,34.23538138,125.9417257
169,전라남도,진도군,서거차도,34.25398954,125.9106237
170,전라남도,진도군,상하죽도,34.2509016,125.9248572
171,전라남도,진도군,하조도,34.29713858,126.0536468
172,전라남도,진도군,대마도,34.26627792,125.9916271
173,전라남도,진도군,소마도,34.30019615,125.9775748
