연번,시도,시군구,섬이름,위도,경도,id_count,source_count,velocity_0_count,velocity_1_count,velocity_2_count,state_count,age_count,Points_0_count,Points_1_count,Points_2_count
1,부산광역시,영도구,영도,35.094215634866522,129.049420815867876,,,,,,,,,,
2,부산광역시,강서구,가덕도,35.061687180450221,128.827877872903883,19,19,19,19,19,19,19,19,19,19
3,부산광역시,강서구,진우도,35.067003290000002,128.872363400000012,,,,,,,,,,
4,부산광역시,기장군,죽도,35.217873439999998,129.229740200000009,,,,,,,,,,
5,전라남도,목포시,고하도,34.768850219999997,126.367745600000006,,,,,,,,,,
6,전라남도,목포시,율도,34.803464130000002,126.323546399999998,208,208,208,208,208,208,208,208,208,208
7,전라남도,목포시,달리도,34.773676809999998,126.316142799999994,3,3,3,3,3,3,3,3,3,3
8,전라남도,목포시,외달도,34.779702919999998,126.296734200000003,53,53,53,53,53,53,53,53,53,53
9,전라남도,목포시,장좌도,34.789084449999997,126.338510299999996,32,32,32,32,32,32,32,32,32,32
10,전라남도,목포시,우도,34.793024969999998,126.332499700000000,118,118,118,118,118,118,118,118,118,118
11,전라남도,여수시,야도,34.720436055153279,127.711021176143831,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478
12,전라남도,여수시,대경도,34.709604220000003,127.723389699999998,,,,,,,,,,
13,전라남도,여수시,소경도,34.708058229393941,127.705104976735115,,,,,,,,,,
14,전라남도,여수시,묘도,34.885698419999997,127.716252900000001,,,,,,,,,,
15,전라남도,여수시,돌산도,34.710815859999997,127.782860400000004,19,19,19,19,19,19,19,19,19,19
16,전라남도,여수시,송도(돌산면),34.609152999999999,127.715926999999994,11,11,11,11,11,11,11,11,11,11
17,전라남도,여수시,금죽도,34.677942569999999,127.700680300000002,,,,,,,,,,
18,전라남도,여수시,달천도,34.765223365503665,127.563914278404042,,,,,,,,,,
19,전라남도,여수시,송도(율촌면),34.880926570000000,127.595991299999994,,,,,,,,,,
20,전라남도,여수시,소늑도,34.869199999999999,127.609995999999995,,,,,,,,,,
21,전라남도,여수시,대늑도,34.867888630000003,127.620911300000003,,,,,,,,,,
22,전라남도,여수시,운두도,34.744138679999999,127.561364100000006,,,,,,,,,,
23,전라남도,여수시,금오도,34.522693279999999,127.750413600000002,,,,,,,,,,
24,전라남도,여수시,안도,34.485347339999997,127.811041900000006,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478
25,전라남도,여수시,부도,34.576842429999999,127.582186300000004,,,,,,,,,,
26,전라남도,여수시,연도,34.436699439999998,127.802220100000000,,,,,,,,,,
27,전라남도,여수시,대두라도,34.565163820000002,127.733360200000007,,,,,,,,,,
28,전라남도,여수시,소두라도,34.566726559999999,127.746206099999995,,,,,,,,,,
29,전라남도,여수시,나발도,34.572335340000002,127.739961800000003,26,26,26,26,26,26,26,26,26,26
30,전라남도,여수시,화태도,34.585007089999998,127.731354699999997,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891
31,전라남도,여수시,대횡간도,34.577625120000000,127.759873999999996,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220
32,전라남도,여수시,소횡간도,34.564471099999999,127.766876300000007,,,,,,,,,,
33,전라남도,여수시,백야도,34.615278560000000,127.637852100000003,12,12,12,12,12,12,12,12,12,12
34,전라남도,여수시,월호도,34.573360479999998,127.719265100000001,308,308,308,308,308,308,308,308,308,308
35,전라남도,여수시,자봉도,34.592719870000003,127.685989800000002,,,,,,,,,,
36,전라남도,여수시,개도,34.569926080000002,127.660904299999999,640,640,640,640,640,640,640,640,640,640
