공간정보일련번호(gid),격자번호(grid_no)
1378,GR2_G1E14
1379,GR2_G1E23
1380,GR2_G1E24
1381,GR2_G1F13
1382,GR2_G1F14
1383,GR2_G1F23
1384,GR2_G1F24
1385,GR2_G1G13
1386,GR2_G1G14
1387,GR2_G1G23
1388,GR2_G1G24
1389,GR2_G1H13
1390,GR2_G1H14
1391,GR2_G1H23
1392,GR2_G1H24
1393,GR2_G2E13
1394,GR2_G2E14
1395,GR2_G2E23
1396,GR2_G2E24
1397,GR2_G2F13
1398,GR2_G2F14
1399,GR2_G2F23
1400,GR2_G2F24
1401,GR2_G2G13
1437,GR2_F2H31
1438,GR2_F2H32
1439,GR2_F2H41
1440,GR2_F2H42
1441,GR2_G1E31
1442,GR2_G1E32
1443,GR2_G1E41
1444,GR2_G1E42
1445,GR2_G1F31
1446,GR2_G1F32
1447,GR2_G1F41
1448,GR2_G1F42
1449,GR2_G1G31
1450,GR2_G1G32
1451,GR2_G1G41
1452,GR2_G1G42
1453,GR2_G1H31
1454,GR2_G1H32
1455,GR2_G1H41
1456,GR2_G1H42
1457,GR2_G2E31
1458,GR2_G2E32
1459,GR2_G2E41
1460,GR2_G2E42
1461,GR2_G2F31
1462,GR2_G2F32
1463,GR2_G2F41
1464,GR2_G2F42
1465,GR2_G2G31
1486,GR2_F1H34
1487,GR2_F1H43
1488,GR2_F1H44
1489,GR2_F2E33
1490,GR2_F2E34
1491,GR2_F2E43
1492,GR2_F2E44
1500,GR2_F2G44
1501,GR2_F2H33
1502,GR2_F2H34
1503,GR2_F2H43
1504,GR2_F2H44
1505,GR2_G1E33
1506,GR2_G1E34
1507,GR2_G1E43
1508,GR2_G1E44
1509,GR2_G1F33
1510,GR2_G1F34
1511,GR2_G1F43
1512,GR2_G1F44
1513,GR2_G1G33
1514,GR2_G1G34
1515,GR2_G1G43
1516,GR2_G1G44
1517,GR2_G1H33
1518,GR2_G1H34
1519,GR2_G1H43
1520,GR2_G1H44
1521,GR2_G2E33
1522,GR2_G2E34
1523,GR2_G2E43
1524,GR2_G2E44
1525,GR2_G2F33
1526,GR2_G2F34
1527,GR2_G2F43
1528,GR2_G2F44
1529,GR2_G2G33
1551,GR2_F1L21
1552,GR2_F1L22
1553,GR2_F2I11
1554,GR2_F2I12
1555,GR2_F2I21
1556,GR2_F2I22
1561,GR2_F2K11
1562,GR2_F2K12
1563,GR2_F2K21
1564,GR2_F2K22
1565,GR2_F2L11
1566,GR2_F2L12
1567,GR2_F2L21
1568,GR2_F2L22
1569,GR2_G1I11
1570,GR2_G1I12
1571,GR2_G1I21
1572,GR2_G1I22
1573,GR2_G1J11
1574,GR2_G1J12
1575,GR2_G1J21
1576,GR2_G1J22
1577,GR2_G1K11
1578,GR2_G1K12
1579,GR2_G1K21
1580,GR2_G1K22
1581,GR2_G1L11
1582,GR2_G1L12
1583,GR2_G1L21
1584,GR2_G1L22
