번호,관련번호,상위번호,도서명,자료출처,지명유래,X좌표,Y좌표,유무인도,연육도현황,기타,도형정보
1,오도6,4.69E+18,목섬-5,고시,,108733.09,303338.54,0,,신규등록,POINT (108733.09342591256 303338.54123363376)
2,재원12,4.69E+18,소사삼도,수치,,101009.77,275981.22,0,,,POINT (101009.77233464988 275981.2160706469)
3,석만6,4.69E+18,"소바위-2, 우각서-1 (왕",고시현지행정,,121097.14,308686.98,0,,신규등록,POINT (121097.13798834546 308686.9764805552)
4,석만8,4.69E+18,웃만재,현지,,120970.93,309395.27,0,,신규등록,POINT (120970.92898052697 309395.2700255497)
5,석만9,4.69E+18,아랫만재,현지,,121163.83,309112.17,0,,신규등록,POINT (121163.83164368555 309112.17458516196)
6,전남-무안-1,4.68E+18,갓섬,고시,섬 중에 제일 바깥쪽에,145443.48,251156.48,0,,,POINT (145443.4798415954 251156.4749667897)
7,전남-무안-4,4.68E+18,우도,고시,섬 모양이 소가 누워 ,143936.48,251837.45,0,,,POINT (143936.4794256133 251837.4502412189)
8,달동1,4.61E+18,달리도,고시,,137292.65,242043.42,1,,,POINT (137292.65224502326 242043.4180021895)
9,달동2,4.61E+18,고하도,고시,,142132.63,241430.49,1,,,POINT (142132.6321922051 241430.48744345555)
10,달동3,4.61E+18,외달도,고시,,135645.65,242874.39,1,,,POINT (135645.6506726481 242874.39070203103)
11,군내5,4.61E+18,돌산도,고시,,270002.14,227731.37,1,연륙교,,POINT (270002.14026976144 227731.36959785502)
12,봉전1,4.61E+18,단도,고시,경치가 좋아서 관광객,248009.99,245788.96,0,,,POINT (248009.98698292556 245788.9560905501)
13,이천3,4.61E+18,우도,수치,,252548.07,238472.06,0,,,POINT (252548.07032925868 238472.0602584149)
14,안포7,4.61E+18,오란도,고시,까막섬이 돌산읍에 있,259709.22,225703.23,0,,,POINT (259709.2204204637 225703.22926856123)
15,우학1,4.61E+18,오동도,고시,이 섬은 물위에 높이 ,272161.34,213196.47,0,,,POINT (272161.34243912867 213196.4719023821)
16,우학2,4.61E+18,금오도,고시,이 섬에는 신선대와 옥,269079.34,214092.42,1,,,POINT (269079.3440332161 214092.4226631091)
17,심장6,4.61E+18,소부도,고시,이 섬의 모양이 작은 ,272561.39,210121.49,0,,,POINT (272561.38537919347 210121.49242920202)
18,심장7,4.61E+18,구몽바위(소구몽암),행정,여수시 관내 행정지도,270295.41,208877.47,0,,,POINT (270295.4141662583 208877.46536551678)
19,심장8,4.61E+18,구몽바위(대구몽암),행정,여수시 관내 행정지도,270392.41,208882.47,0,,,POINT (270392.4136362985 208882.46675261197)
20,유송3,4.61E+18,가리여,수치,,270648.29,217029.43,0,,,POINT (270648.29371207184 217029.4313609401)
21,연도5,4.61E+18,알마도,고시,섬의 모양이 망아지처,272029.44,206637.5,0,,,POINT (272029.43859577004 206637.50123055786)
22,연도9,4.61E+18,작도,고시,이 섬의 빛은 희고 또 ,283112.45,202668.68,0,,,POINT (283112.44515616517 202668.68144326354)
23,연도10,4.61E+18,작은간여,고시,연도 동남쪽에 있는 2,278622.67,188515.68,0,,,POINT (278622.67144445964 188515.680899008)
24,연도11,4.61E+18,간여,고시,이 섬은 연도리에서 상,278648.67,188468.68,0,,,POINT (278648.6720089352 188468.68148860813)
25,연도12,4.61E+18,연도,고시,옛날 풍수가 거처하면,273732.46,204901.53,1,,,POINT (273732.4558949201 204901.5342044293)
26,개도12,4.61E+18,개도,고시,천재봉과 봉화산의 형,261295.31,219277.28,1,,,POINT (261295.30610110585 219277.2841591229)
27,제도1,4.61E+18,도막여-1,고시,화정면 제도리 남쪽에,259986.28,221556.25,0,,,POINT (259986.27937348283 221556.25389416167)
28,제도2,4.61E+18,큰여,고시,제도리 남쪽에 위치한,259932.28,221506.25,0,,,POINT (259932.28036431942 221506.25335667626)
29,조발3,4.61E+18,납대기도,고시,"1/50,000 지형도에 하과",249073.27,225639.08,0,,,POINT (249073.27417270845 225639.07525221998)
