src_node,dst_node,island_name,release_point_id,attn_layer1_mean,attn_layer2
0,137,고성하일,1,0.0043252073,2.5906356e-06
0,138,남해유구,1,0.004996696,0.0010226761
0,143,부산해양대,1,0.009780047,0.0030267998
0,144,통영망일봉,1,0.006329422,3.9028322e-11
0,145,마산봉암,1,0.006942712,3.9804985e-05
0,146,거제두모,1,0.008952396,1.0286833e-08
0,148,부산가덕도,1,0.008135858,2.3312807e-05
0,149,통영욕지도,1,0.004311445,2.2063693e-09
1,137,고성하일,2,0.0043907384,6.8503523e-06
1,138,남해유구,2,0.009124836,0.01417827
1,143,부산해양대,2,0.009560177,0.00017478582
1,144,통영망일봉,2,0.0057367967,1.12619004e-10
1,145,마산봉암,2,0.007414608,0.0061457283
1,146,거제두모,2,0.014744215,7.817362e-10
1,148,부산가덕도,2,0.009723148,1.2232277e-06
1,149,통영욕지도,2,0.004126304,1.00635816e-07
2,137,고성하일,3,0.0042236047,5.2335645e-07
2,138,남해유구,3,0.004428871,0.00011551755
2,139,여수반월,3,0.025281873,0.07113873
2,140,여수안도,3,0.06867689,0.24834013
2,143,부산해양대,3,0.011744349,0.011462308
2,144,통영망일봉,3,0.007389893,9.924985e-12
2,145,마산봉암,3,0.006839351,5.6794852e-05
2,146,거제두모,3,0.008147382,2.1920247e-08
2,148,부산가덕도,3,0.007899908,6.7891546e-05
2,149,통영욕지도,3,0.0048046247,2.1324653e-10
3,137,고성하일,4,0.0043082763,3.3487484e-06
3,138,남해유구,4,0.015097378,0.036297303
3,143,부산해양대,4,0.0103960745,2.4128598e-05
3,144,통영망일봉,4,0.005520379,1.7288557e-10
3,145,마산봉암,4,0.0068907426,4.136286e-05
3,146,거제두모,4,0.047211315,5.7486335e-11
3,148,부산가덕도,4,0.014908457,6.3921085e-08
3,149,통영욕지도,4,0.0042528845,1.7111099e-06
4,137,고성하일,5,0.0043195533,4.269021e-06
4,138,남해유구,5,0.028969113,0.08920289
4,143,부산해양대,5,0.010974522,1.0628218e-05
4,144,통영망일봉,5,0.005106531,5.4071303e-10
4,145,마산봉암,5,0.008016674,3.7956818e-06
4,146,거제두모,5,0.1250547,1.5156777e-11
4,148,부산가덕도,5,0.021522382,1.8199204e-08
4,149,통영욕지도,5,0.004406532,1.0475104e-05
5,137,고성하일,6,0.004232727,7.5995854e-07
5,138,남해유구,6,0.0047922735,0.00061753625
5,143,부산해양대,6,0.009510502,0.0017196258
5,144,통영망일봉,6,0.007333623,1.067773e-11
5,145,마산봉암,6,0.007414225,1.1371825e-05
5,146,거제두모,6,0.010614099,3.2926388e-09
5,148,부산가덕도,6,0.008439405,9.365911e-06
5,149,통영욕지도,6,0.004278777,2.7131768e-09
6,137,고성하일,7,0.0042858776,3.098835e-06
6,138,남해유구,7,0.03425078,0.109954394
6,143,부산해양대,7,0.011002107,9.937473e-06
