fold,island,actual,predicted,error,abs_error,epochs_run
1,고흥신흥,452.0,648.1482543945312,196.14825439453125,196.14825439453125,172
2,고흥염포,435.0,789.387939453125,354.387939453125,354.387939453125,233
3,해남송평,327.0,725.5277099609375,398.5277099609375,398.5277099609375,239
4,해남예락,292.0,520.3796997070312,228.37969970703125,228.37969970703125,141
5,완도평일도,806.0,725.4317016601562,-80.56829833984375,80.56829833984375,172
6,완도신지도,743.0,714.541259765625,-28.458740234375,28.458740234375,185
7,진도하조도,309.0,776.2808227539062,467.28082275390625,467.28082275390625,234
8,신안압해도,1157.0,727.9144897460938,-429.08551025390625,429.08551025390625,187
9,신안임자도,119.0,723.1900024414062,604.1900024414062,604.1900024414062,176
10,고성하일,1710.0,692.141357421875,-1017.858642578125,1017.858642578125,197
11,남해유구,188.0,742.267822265625,554.267822265625,554.267822265625,178
12,여수안도,11420.0,530.2567749023438,-10889.743225097656,10889.743225097656,175
13,여수백야도,525.0,798.6030883789062,273.60308837890625,273.60308837890625,243
14,여수거문도,4207.0,673.1976318359375,-3533.8023681640625,3533.8023681640625,183
15,부산해양대,800.0,688.2420043945312,-111.75799560546875,111.75799560546875,202
16,통영망일봉,1215.0,750.8897705078125,-464.1102294921875,464.1102294921875,223
17,거제두모,3746.0,711.6068725585938,-3034.3931274414062,3034.3931274414062,197
18,완도보길도,1693.0,678.0711669921875,-1014.9288330078125,1014.9288330078125,217
19,부산가덕도,3383.0,687.4209594726562,-2695.5790405273438,2695.5790405273438,176
20,통영욕지도,2563.0,675.1549072265625,-1887.8450927734375,1887.8450927734375,183
